
1546013207.383788667, exp1 f mode
1546013207.383822240, face tracking, off
1546013209.386478717, reeti turn to, 1
1546013209.386536219, 1, v
1546013211.341891636, user press, v
1546013212.822021452, exp1 f mode
1546013212.822049688, face tracking, off
1546013214.824750710, reeti turn to, 1
1546013214.824778643, 1, v
1546013216.983140722, user press, v
1546013219.182545710, Reeti takes a break
1546013230.469358208, Reeti standby
1546013232.776566300, exp1 f mode
1546013232.776707012, face tracking, off
1546013234.779904542, reeti turn to, 1
1546013234.780001350, 1, v
1546013236.848635903, user press, v
1546013238.779730773, exp1 f mode
1546013238.779757287, face tracking, off
1546013240.782742629, reeti turn to, 1
1546013240.782865915, 0, u
1546013242.824734225, user press, u
1546013244.893305494, exp1 f mode
1546013244.893351237, face tracking, off
1546013246.898692309, reeti turn to, 1
1546013246.898730815, 0, v
1546013249.039134615, user press, v
1546013251.032993536, exp1 f mode
1546013251.033063886, face tracking, off
1546013253.036936022, reeti turn to, 0
1546013253.037108541, 0, u
1546013255.099561660, user press, u
1546013256.888112030, exp1 f mode
1546013256.888144569, face tracking, off
1546013258.895101784, reeti turn to, 1
1546013258.895211019, 0, u
1546013260.608376097, user press, u
1546013262.141996556, exp1 f mode
1546013262.142024695, face tracking, off
1546013264.144650181, reeti turn to, 1
1546013264.144680621, 1, v
1546013266.346112441, user press, v
1546013267.890276530, exp1 f mode
1546013267.890312439, face tracking, off
1546013269.892939432, reeti turn to, 0
1546013269.892973467, 1, u
1546013271.605831670, user press, u
1546013273.217842904, exp1 f mode
1546013273.217876111, face tracking, off
1546013275.221096289, reeti turn to, 1
1546013275.221129444, 0, v
1546013277.179352742, user press, v
1546013278.887636554, exp1 f mode
1546013278.887683980, face tracking, off
1546013280.894686203, reeti turn to, 0
1546013280.894716303, 1, u
1546013282.542040214, user press, u
1546013284.314503782, exp1 f mode
1546013284.314536220, face tracking, off
1546013286.317898456, reeti turn to, 1
1546013286.317926781, 0, v
1546013288.390049026, user press, v
1546013289.943693965, Reeti takes a break
1546013307.753830693, Reeti standby
1546013309.623154037, exp1 d mode
1546013309.631465585, face tracking, on
1546013311.635207148, reeti turn to, 1
1546013311.635268721, 0, v
1546013313.700828330, user press, v
1546013315.127985422, Reeti standby
1546013315.471713107, exp1 d mode
1546013315.474982444, face tracking, on
1546013317.478186836, reeti turn to, 0
1546013317.478353556, 1, v
1546013319.392999576, user press, v
1546013321.243183663, Reeti standby
1546013321.525288399, exp1 d mode
1546013321.530652077, face tracking, on
1546013323.533895160, reeti turn to, 0
1546013323.533923528, 1, v
1546013325.641526001, user press, v
1546013327.143406410, Reeti standby
1546013327.460240467, exp1 d mode
1546013327.464023912, face tracking, on
1546013329.467180057, reeti turn to, 1
1546013329.467233882, 0, u
1546013331.408776961, user press, u
1546013332.831178279, Reeti standby
1546013333.132189627, exp1 d mode
1546013333.139766880, face tracking, on
1546013335.142963710, reeti turn to, 0
1546013335.143019058, 1, v
1546013337.234569073, user press, v
1546013338.577673857, Reeti standby
1546013338.902760430, exp1 d mode
1546013338.906040321, face tracking, on
1546013340.909327554, reeti turn to, 0
