1546974849.983143807, 0, u
1546974851.624806669, user press, u
1546974933.326987007, face tracking, on
1546974935.329302152, reeti turn to, 1
1546974935.329326979, 0, u
1546974937.044540490, user press, u
1546974938.621486087, face tracking, on
1546974940.624352026, reeti turn to, 0
1546974940.624385748, 1, u
1546974942.229414251, user press, u
1546974943.655190995, face tracking, on
1546974945.658763867, reeti turn to, 1
1546974945.658792440, 0, v
1546974947.196707289, user press, v
1546974948.685879431, face tracking, on
1546974950.688710302, reeti turn to, 1
1546974950.688741910, 0, v
1546974952.104617459, user press, v
1546974953.582056850, face tracking, on
1546974955.584861139, reeti turn to, 0
1546974955.584890236, 1, u
1546974957.126952130, user press, u
1546974958.574225517, face tracking, on
1546974960.577228574, reeti turn to, 0
1546974960.577252241, 1, v
1546974962.250885300, user press, v
1546974963.542892312, face tracking, on
1546974965.545502201, reeti turn to, 0
1546974965.545525297, 0, u
1546974967.239448637, user press, u
1546974968.663342545, face tracking, on
1546974970.666164867, reeti turn to, 0
1546974970.666190936, 0, u
1546974972.177673619, user press, u
1546974973.781605357, face tracking, on
1546974975.784144064, reeti turn to, 1
1546974975.784165944, 0, v
1546974977.406098816, user press, v
1546974978.937382683, face tracking, on
1546974980.940315434, reeti turn to, 0
1546974980.940376142, 1, v
1546974982.631042781, user press, v
1546975006.307810397, face tracking, off
1546975008.310227621, reeti turn to, 0
1546975008.310258960, 0, v
1546975010.180637497, user press, v
1546975011.484111971, face tracking, off
1546975013.487090360, reeti turn to, 1
1546975013.487122780, 1, v
1546975015.013405302, user press, v
1546975016.491740475, face tracking, off
1546975018.494472098, reeti turn to, 1
1546975018.494505602, 0, v
1546975019.964953124, user press, v
1546975021.527045125, face tracking, off
1546975023.529436508, reeti turn to, 1
1546975023.529461398, 1, v
1546975025.029049381, user press, v
1546975026.219730794, face tracking, off
1546975028.222662158, reeti turn to, 0
1546975028.222687050, 0, u
1546975029.848211047, user press, u
1546975031.146997433, face tracking, off
1546975033.150054429, reeti turn to, 0
1546975033.150112851, 1, v
1546975034.772690720, user press, v
1546975036.155428410, face tracking, off
1546975038.159624637, reeti turn to, 1
1546975038.159756734, 0, v
1546975039.732128282, user press, v
1546975041.171595124, face tracking, off
1546975043.174417547, reeti turn to, 1
1546975043.174455969, 0, v
1546975044.802789609, user press, v
1546975046.107651905, face tracking, off
1546975048.109909732, reeti turn to, 1
1546975048.109941224, 1, u
1546975049.586341011, user press, u
1546975051.187538300, face tracking, off
1546975053.189978717, reeti turn to, 0
1546975053.190021474, 0, v
1546975054.775944755, user press, v
1546975070.635777219, face tracking, off
1546975072.638144676, reeti turn to, 1
1546975072.638166314, 0, v
1546975074.277745673, user press, v
1546975075.883579869, face tracking, off
1546975077.886026727, reeti turn to, 0
1546975077.886062431, 1, v
1546975079.418407451, user press, v
1546975080.771559038, face tracking, off
1546975082.773843594, reeti turn to, 0
1546975082.773872138, 0, v
1546975084.208317676, user press, v
1546975085.843019791, face tracking, off
1546975087.846007586, reeti turn to, 1
1546975087.846042011, 1, v
1546975089.447942795, user press, v
1546975091.003739526, face tracking, off
1546975093.006546830, reeti turn to, 0
1546975093.006578651, 1, u
1546975094.797275857, user press, u
1546975096.235301285, face tracking, off
1546975098.237678695, reeti turn to, 0
1546975098.237703002, 0, u
1546975099.976870494, user press, u
1546975101.628152553, face tracking, off
1546975103.630813796, reeti turn to, 1
1546975103.630846637, 1, u
1546975105.302511687, user press, u
1546975106.927169150, face tracking, off
1546975108.929699396, reeti turn to, 0
1546975108.929761221, 1, u
1546975110.612077314, user press, u
1546975112.155004956, face tracking, off
1546975114.157430097, reeti turn to, 0
1546975114.157463183, 0, v
1546975115.845671455, user press, v
1546975117.430954614, face tracking, off
1546975119.433185903, reeti turn to, 1
1546975119.433245664, 1, u
1546975121.121306087, user press, u
1546975134.077009004, face tracking, off
1546975136.079814162, reeti turn to, 0
1546975136.079848913, 0, u
1546975137.880162922, user press, u
1546975139.146777861, face tracking, off
1546975141.149481417, reeti turn to, 0
1546975141.149511438, 0, v
1546975142.696771023, user press, v
1546975144.075903512, face tracking, off
1546975146.078737766, reeti turn to, 0
1546975146.078768804, 1, v
1546975147.683574690, user press, v
1546975149.252979202, face tracking, off
1546975151.255887167, reeti turn to, 0
1546975151.255926375, 0, v
1546975153.141441917, user press, v
1546975154.634875589, face tracking, off
1546975156.639262596, reeti turn to, 0
1546975156.639355171, 0, v
1546975158.236513339, user press, v
1546975160.123125205, face tracking, off
1546975162.125876145, reeti turn to, 1
1546975162.125904579, 1, u
1546975163.737478143, user press, u
1546975165.163598860, face tracking, off
1546975167.166115026, reeti turn to, 1
1546975167.166145504, 1, v
1546975168.743739371, user press, v
1546975170.315755119, face tracking, off
1546975172.318318473, reeti turn to, 1
1546975172.318344075, 1, u
1546975173.941028715, user press, u
1546975175.484391157, face tracking, off
1546975177.486845742, reeti turn to, 1
1546975177.486872384, 0, u
1546975179.288770769, user press, u
1546975180.699914977, face tracking, off
1546975182.702423403, reeti turn to, 0
1546975182.702462317, 1, v
1546975184.601707503, user press, v
1546975196.140228466, face tracking, off
1546975198.142808150, reeti turn to, 1
1546975198.142853280, 0, v
1546975199.945498021, user press, v
1546975201.316686833, face tracking, off
1546975203.319250654, reeti turn to, 0
1546975203.319276255, 1, v
1546975204.935791302, user press, v
1546975206.618724622, face tracking, off
1546975208.621570349, reeti turn to, 1
1546975208.621602061, 0, v
1546975210.135349198, user press, v
1546975211.618763458, face tracking, off
1546975213.621939851, reeti turn to, 1
1546975213.621967948, 1, u
1546975215.307902362, user press, u
1546975217.075573290, face tracking, off
1546975219.085483063, reeti turn to, 0
1546975219.085537400, 0, v
1546975220.801689356, user press, v
1546975222.243140229, face tracking, off
1546975224.245842339, reeti turn to, 0
1546975224.245876501, 1, u
1546975225.729118059, user press, u
1546975227.444116900, face tracking, off
1546975229.446743808, reeti turn to, 1
1546975229.446785116, 0, u
1546975231.065137318, user press, u
1546975232.491449492, face tracking, off
1546975234.498697726, reeti turn to, 0
1546975234.498758316, 1, u
1546975236.233298458, user press, u
1546975237.779753854, face tracking, off
1546975239.783008231, reeti turn to, 1
1546975239.783072866, 0, v
1546975241.424132973, user press, v
1546975242.811955602, face tracking, off
1546975244.814338367, reeti turn to, 1
1546975244.814365156, 1, u
1546975246.343579260, user press, u
1546975262.456628662, face tracking, on
1546975264.459311247, reeti turn to, 0
1546975264.459343450, 0, u
1546975266.011259494, user press, u
1546975267.500987497, face tracking, on
1546975269.503725366, reeti turn to, 1
