1545342030.223813871, reeti turn to, 0
1545342030.223837012, 0, u
1545342032.529027383, user press, u
1545342033.768356766, face tracking, on
1545342035.770955064, reeti turn to, 0
1545342035.770991999, 0, v
1545342038.209118864, user press, v
1545342039.519448769, face tracking, on
1545342041.522572012, reeti turn to, 1
1545342041.522609864, 1, v
1545342044.006283423, user press, v
1545342045.263328228, face tracking, on
1545342047.265825008, reeti turn to, 1
1545342047.265852738, 0, v
1545342049.535284931, user press, v
1545342051.138127187, face tracking, on
1545342053.140498535, reeti turn to, 0
1545342053.140535912, 0, v
1545342055.935903908, user press, v
1545342057.281419521, face tracking, on
1545342059.284221199, reeti turn to, 0
1545342059.284250123, 1, v
1545342061.821453232, user press, v
1545342063.193050692, face tracking, on
1545342065.195601565, reeti turn to, 0
1545342065.195628624, 0, v
1545342067.578781747, user press, v
1545342068.999008413, face tracking, on
1545342071.001740717, reeti turn to, 0
1545342071.001776108, 1, v
1545342073.576800454, user press, v
1545342074.887540685, face tracking, on
1545342076.890000067, reeti turn to, 0
1545342076.890035679, 0, v
1545342079.395595015, user press, v
1545342080.687939015, face tracking, on
1545342082.690324064, reeti turn to, 0
1545342082.690359605, 0, u
1545342085.237274965, user press, u
1545342096.771849615, face tracking, on
1545342098.775239949, reeti turn to, 0
1545342098.775288224, 1, u
1545342101.158650108, user press, u
1545342102.619878245, face tracking, on
1545342104.622691997, reeti turn to, 1
1545342104.622721148, 0, u
1545342107.204014297, user press, u
1545342108.775524050, face tracking, on
1545342110.778460887, reeti turn to, 0
1545342110.778490774, 1, v
1545342113.309802479, user press, v
1545342114.960214304, face tracking, on
1545342116.962700376, reeti turn to, 0
1545342116.962741537, 1, u
1545342119.486818295, user press, u
1545342121.020092787, face tracking, on
1545342123.022450537, reeti turn to, 1
1545342123.022478693, 0, u
1545342125.479639140, user press, u
1545342126.867339112, face tracking, on
1545342128.869718554, reeti turn to, 0
1545342128.869746964, 0, v
1545342131.323036982, user press, v
1545342132.878820077, face tracking, on
1545342134.881509021, reeti turn to, 0
1545342134.881546503, 1, u
1545342137.361427052, user press, u
1545342138.927017705, face tracking, on
1545342140.929277124, reeti turn to, 0
1545342140.929306908, 0, u
1545342143.323241588, user press, u
1545342144.722342754, face tracking, on
1545342146.724788164, reeti turn to, 0
1545342146.724820268, 0, v
1545342149.115320682, user press, v
1545342150.642372851, face tracking, on
1545342152.644740920, reeti turn to, 1
1545342152.644773693, 1, v
1545342155.070992634, user press, v
1545342207.276131894, user press, v
1545342207.534113124, user press, v
1545342207.739617001, user press, v
1545342207.948954911, user press, v
1545342208.223218653, user press, v

