;; This buffer is for text that is not saved, and for Lisp evaluation.
;; To create a file, visit it with C-x C-f and enter text in its buffer.

process[parser_server-1, started with pid3016]
process[blank_image-2, started with pid3017]
process[left_monitor-3, started with pid3023]
process[right_monitor-4, started with pid3037]
process[face_tracking-5, started with pid3044]
1545793104.075803775, face tracking, on
1545793106.078797494, reeti turn to, 0
1545793106.078838660, 0, v
1545793108.344892896, user press, v
1545793109.770590188, exp1 d mode
1545793109.775148384, face tracking, on
1545793111.777786249, reeti turn to, 0
1545793111.777816326, 1, v
1545793113.993574957, user press, v
1545793115.137261398, exp1 d mode
1545793115.142348649, face tracking, on
1545793117.145894663, reeti turn to, 1
1545793117.145962786, 1, u
1545793119.723471751, user press, u
1545793121.408172310, exp1 d mode
1545793121.411349323, face tracking, on
1545793123.414210579, reeti turn to, 0
1545793123.414242663, 1, u
1545793125.754639678, user press, u
1545793127.445917686, exp1 d mode
1545793127.448817077, face tracking, on
1545793129.451925267, reeti turn to, 0
1545793129.451968562, 0, v
1545793131.534101847, user press, v
1545793133.019144045, Reeti takes a break
1545793151.507428151, Reeti standby
1545793153.410672507, exp1 d mode
1545793153.413551607, face tracking, on
1545793155.416845844, reeti turn to, 1
1545793155.416934592, 1, u
1545793157.839270158, user press, u
1545793159.245614596, exp1 d mode
1545793159.247936576, face tracking, on
1545793161.251011189, reeti turn to, 1
1545793161.251044954, 1, u
1545793163.464717382, user press, u
1545793165.118969946, exp1 d mode
1545793165.125902754, face tracking, on
1545793167.137574429, reeti turn to, 0
1545793167.137634119, 1, u
1545793169.585309588, user press, u
1545793171.199477870, exp1 d mode
1545793171.204268992, face tracking, on
1545793173.207728352, reeti turn to, 1
1545793173.207816319, 1, u
1545793175.547015972, user press, u
1545793177.130664425, exp1 d mode
1545793177.137811195, face tracking, on
1545793179.145997117, reeti turn to, 0
1545793179.146070415, 0, v
1545793181.548875687, user press, v
1545793183.022097365, exp1 d mode
1545793183.025200658, face tracking, on
1545793185.037191790, reeti turn to, 1
1545793185.037284393, 1, v
1545793187.412727006, user press, v
1545793188.998935260, exp1 d mode
1545793189.004979984, face tracking, on
1545793191.008202005, reeti turn to, 1
1545793191.008245483, 1, u
1545793193.457226075, user press, u
1545793195.000901790, exp1 d mode
1545793195.003720051, face tracking, on
1545793197.008054026, reeti turn to, 0
1545793197.008085663, 0, v
1545793199.375076388, user press, v
1545793200.845991700, exp1 d mode
1545793200.848835823, face tracking, on
1545793202.852246941, reeti turn to, 1
1545793202.852298271, 0, v
1545793205.147505377, user press, v
1545793206.636328195, exp1 d mode
1545793206.639063844, face tracking, on
1545793208.642740154, reeti turn to, 1
1545793208.642793327, 1, u
1545793210.882831077, user press, u
1545793212.336289992, exp1 d mode
1545793212.339091879, face tracking, on
1545793214.342135446, reeti turn to, 1
1545793214.342177022, 1, v
1545793216.625576671, user press, v
1545793218.042310681, Reeti takes a break
1545793245.208688036, Reeti standby
1545793247.118822709, exp1 d mode
1545793247.126151381, face tracking, on
1545793249.132552533, reeti turn to, 0
1545793249.132589929, 1, u
1545793251.655421413, user press, u
1545793253.114408606, exp1 d mode
1545793253.117961117, face tracking, on
1545793255.125616376, reeti turn to, 1
1545793255.125669371, 0, u
1545793257.346650864, user press, u
1545793258.814742171, exp1 d mode
1545793258.818748872, face tracking, on
1545793260.831296623, reeti turn to, 0
1545793260.831358737, 1, v
1545793263.164922955, user press, v
1545793264.749340736, exp1 d mode
1545793264.752401493, face tracking, on
1545793266.763867295, reeti turn to, 0
1545793266.764005331, 1, v
1545793268.940912840, user press, v
1545793270.914850816, exp1 d mode
1545793270.917374589, face tracking, on
1545793272.920187298, reeti turn to, 1
1545793272.920225141, 1, v
1545793275.071464298, user press, v
1545793277.022288237, exp1 d mode
1545793277.031965845, face tracking, on
1545793279.035909980, reeti turn to, 0
1545793279.035958031, 0, v
1545793281.450164301, user press, v
1545793283.170152089, exp1 d mode
1545793283.172915955, face tracking, on
1545793285.176005762, reeti turn to, 0
1545793285.176135832, 0, u
