1545339689.725205218, user press, v
1545339691.482269840, face tracking, on
1545339693.484973940, reeti turn to, 1
1545339693.485014041, 0, v
1545339695.582935738, user press, v
1545339696.873904871, face tracking, on
1545339698.876530401, reeti turn to, 1
1545339698.876558431, 0, v
1545339700.919523944, user press, v
1545339702.554731509, face tracking, on
1545339704.557561572, reeti turn to, 1
1545339704.557591767, 1, v
1545339706.511553425, user press, v
1545339708.484910951, face tracking, on
1545339710.487789804, reeti turn to, 1
1545339710.487825244, 0, v
1545339712.564982537, user press, v
1545339736.479381211, face tracking, off
1545339738.482268073, reeti turn to, 1
1545339738.482302565, 1, v
1545339740.647328220, user press, v
1545339742.475885943, face tracking, off
1545339744.478471446, reeti turn to, 1
1545339744.478499839, 0, v
1545339746.535947497, user press, v
1545339748.562791179, face tracking, off
1545339750.565623495, reeti turn to, 1
1545339750.565663879, 1, u
1545339752.661566669, user press, u
1545339754.592588377, face tracking, off
1545339756.595115839, reeti turn to, 0
1545339756.595143981, 1, u
1545339758.676655516, user press, u
1545339760.333360750, face tracking, off
1545339762.335930993, reeti turn to, 1
1545339762.335959464, 1, v
1545339764.472062877, user press, v
1545339766.254475389, face tracking, off
1545339768.256965347, reeti turn to, 1
1545339768.257001411, 1, v
1545339770.164662700, user press, v
1545339772.098474279, face tracking, off
1545339774.101359720, reeti turn to, 1
1545339774.101388372, 1, v
1545339776.211228448, user press, v
1545339777.888011610, face tracking, off
1545339779.890783867, reeti turn to, 0
1545339779.890858130, 0, v
1545339781.921416509, user press, v
1545339783.781873444, face tracking, off
1545339785.784745047, reeti turn to, 1
1545339785.784807394, 0, u
1545339787.850886647, user press, u
1545339789.624819259, face tracking, off
1545339791.627530011, reeti turn to, 1
1545339791.627556494, 1, v
1545339793.616292345, user press, v
1545339816.043835161, face tracking, off
1545339818.046557532, reeti turn to, 1
1545339818.046595035, 1, v
1545339820.163839424, user press, v
1545339821.913463802, face tracking, off
1545339823.917407684, reeti turn to, 0
1545339823.917439959, 1, v
1545339825.958568823, user press, v
1545339827.726016070, face tracking, off
1545339829.728354096, reeti turn to, 1
1545339829.728389763, 0, v
1545339831.822184512, user press, v
1545339833.414058619, face tracking, off
1545339835.416665169, reeti turn to, 0
1545339835.416695167, 0, u
1545339837.533383362, user press, u
1545339839.249422453, face tracking, off
1545339841.252285052, reeti turn to, 0
1545339841.252323363, 0, v
1545339843.220899151, user press, v
1545339844.892850747, face tracking, off
